STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Chri;3;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;21:00:31.135;21:00:31.135;8:33.897;513,897;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.686;N;213;;43.324;N;235;;1:05.523;N;220;;10.431;N;270;;1:52.077;N;202;;35.993;N;249;;2:33.450;N;225;;20.290;N;265;;31.123;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;1;0;0;0;0;1;1;8:19.934
1;Chri;3;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;21:10:50.558;21:10:50.558;8:28.443;508,443;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.882;N;215;;44.006;N;234;;1:05.332;N;224;;10.343;N;270;;1:48.883;N;203;;36.068;N;201;;2:32.133;N;226;;20.568;N;259;;29.228;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;2;0;0;0;0;1;2;8:19.934
1;Chri;3;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;21:31:24.166;21:31:24.166;8:49.028;529,028;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.519;N;213;;44.456;N;230;;1:03.718;J;216;;11.074;N;259;;1:49.044;N;203;;38.996;N;239;;2:50.379;N;225;;20.589;N;259;;29.253;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;3;0;0;0;0;1;3;8:19.934
1;Chri;3;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);4;21:44:31.178;21:44:31.178;13:07.012;787,012;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;5:01.719;N;213;;43.235;N;236;;1:05.652;N;184;;11.341;N;260;;1:50.158;N;202;;35.958;N;248;;2:48.293;N;224;;20.512;N;261;;30.144;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;4;0;0;0;0;1;4;8:19.934
1;Chri;1;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);5;21:59:51.909;21:59:51.909;8:31.353;511,353;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;;N;;;;N;233;;1:05.116;N;222;;10.384;N;271;;1:48.681;N;203;;36.160;N;244;;2:35.517;N;213;;20.934;N;260;;29.487;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;5;0;0;0;0;2;1;8:19.934
1;Chri;1;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);6;22:08:21.216;22:08:21.216;8:29.307;509,307;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.729;J;216;;43.460;N;235;;1:05.793;N;222;;10.462;N;267;;1:47.945;J;203;;35.494;N;247;;2:34.957;N;218;;20.462;N;266;;30.005;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;6;0;0;0;0;2;2;8:19.934
1;Chri;1;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);7;22:16:52.118;22:16:52.118;8:30.902;510,902;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.181;N;216;;43.364;N;237;;1:09.189;N;176;;11.509;N;259;;1:50.781;N;203;;35.684;N;244;;2:29.723;J;226;;20.446;N;261;;29.025;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;7;0;0;0;0;2;3;8:19.934
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);8;22:39:37.564;22:39:37.564;8:36.725;516,725;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.691;N;214;;47.717;N;233;;1:04.975;N;225;;10.375;N;268;;1:50.898;N;204;;35.597;N;244;;2:33.232;N;227;;20.371;N;263;;29.869;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;8;0;0;0;0;2;4;8:19.934
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);9;22:48:09.714;22:48:09.714;8:32.150;512,150;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.088;N;215;;48.132;N;235;;1:03.745;N;229;;10.265;J;270;;1:49.186;N;201;;35.974;N;247;;2:34.597;N;230;;20.285;N;263;;28.878;J;;;;N;;N;;N;8:19.934;18;N;0;;            ;;9;0;0;0;0;2;5;8:19.934
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);10;23:07:08.106;23:07:08.106;8:25.380;505,380;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.505;N;216;;43.616;N;234;;1:05.362;N;218;;10.557;N;266;;1:48.514;N;202;;36.037;N;244;;2:30.117;N;225;;20.444;N;261;;29.228;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;10;0;0;0;0;2;6;8:19.934
1;Chri;4;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);11;23:15:31.621;23:15:31.621;8:23.515;503,515;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.803;N;216;;43.033;J;237;;1:05.148;N;223;;10.363;N;269;;1:48.081;N;205;;35.364;J;244;;2:31.376;N;230;;20.279;J;262;;29.068;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;11;0;0;0;0;2;7;8:19.934
1;Chri;3;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);12;23:30:45.760;23:30:45.760;15:14.139;914,139;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;7:10.188;N;215;;43.822;N;236;;1:04.785;N;213;;10.623;N;265;;1:49.486;N;202;;36.215;N;244;;2:47.503;N;197;;21.209;N;262;;30.308;N;;;;N;;N;;N;8:19.934;18;N;0;;            ;;12;0;0;0;0;2;8;8:19.934
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;21:00:32.073;21:00:32.073;8:31.056;511,056;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.612;N;213;;43.360;J;232;;1:06.182;N;218;;10.579;N;262;;1:50.271;N;203;;36.416;N;248;;2:31.851;J;230;;20.240;J;265;;30.545;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;1;0;0;0;0;1;1;8:23.657
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;21:10:54.071;21:10:54.071;8:29.219;509,219;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.923;N;215;;44.079;N;232;;1:04.485;J;225;;10.374;J;265;;1:49.192;N;205;;35.962;N;244;;2:33.602;N;230;;20.446;N;261;;29.156;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;2;0;0;0;0;1;2;8:23.657
3;Chri;1;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;21:41:07.751;21:41:07.751;8:43.731;523,731;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.170;N;213;;44.146;N;231;;1:05.974;N;204;;10.929;N;257;;1:48.083;J;203;;35.587;N;244;;2:46.816;N;221;;20.805;N;258;;29.221;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;3;0;0;0;0;1;3;8:23.657
3;Chri;1;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;21:49:58.443;21:49:58.443;8:50.692;530,692;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.844;J;216;;43.827;N;232;;1:04.525;N;222;;10.418;N;264;;1:48.164;N;202;;35.334;J;248;;2:57.943;N;226;;20.551;N;259;;29.086;J;;;;N;;N;;N;8:23.657;26;N;0;;            ;;4;0;0;0;0;1;4;8:23.657
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;5;22:04:14.279;22:04:14.279;8:36.958;516,958;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;;N;;;;N;233;;1:05.778;N;214;;10.666;N;260;;1:51.257;N;203;;35.872;N;248;;2:35.483;N;215;;20.832;N;260;;30.965;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;5;0;0;0;0;1;5;8:23.657
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;6;22:12:52.175;22:12:52.175;8:37.896;517,896;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.592;N;216;;47.079;N;232;;1:04.655;N;216;;10.625;N;261;;1:49.254;N;204;;35.967;N;249;;2:37.295;N;227;;20.605;N;258;;29.824;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;6;0;0;0;0;1;6;8:23.657
3;Chri;1;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;7;22:30:43.450;22:30:43.450;8:35.555;515,555;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.804;N;213;;43.512;N;232;;1:04.746;N;219;;10.492;N;264;;1:52.819;N;202;;35.957;N;244;;2:35.084;N;230;;20.576;N;258;;29.565;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;7;0;0;0;0;1;7;8:23.657
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;8;22:45:49.743;22:45:49.743;8:46.487;526,487;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.279;N;214;;47.952;N;196;;1:07.998;N;208;;10.815;N;258;;1:55.249;N;202;;36.080;N;244;;2:34.398;N;222;;20.669;N;258;;31.047;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;8;0;0;0;0;1;8;8:23.657
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;9;23:00:27.199;23:00:27.199;8:51.506;531,506;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.880;N;215;;59.688;N;229;;1:07.774;N;209;;10.715;N;260;;1:52.291;N;203;;36.113;N;244;;2:33.016;N;229;;20.545;N;260;;29.484;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;9;0;0;0;0;1;9;8:23.657
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;10;23:09:02.550;23:09:02.550;8:35.351;515,351;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.507;N;214;;43.981;N;234;;1:09.457;N;217;;10.561;N;261;;1:49.306;N;204;;37.150;N;243;;2:33.258;N;228;;20.595;N;257;;29.536;N;;;;N;;N;;N;8:23.657;26;N;0;;            ;;10;0;0;0;0;1;10;8:23.657
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;20:49:11.870;20:49:11.870;8:32.223;512,223;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;43.390;N;216;;43.457;N;235;;1:06.523;N;217;;10.599;N;261;;1:53.693;N;196;;36.023;N;242;;2:28.708;N;230;;20.636;N;257;;29.194;N;;;;N;;N;;N;8:16.247;10;N;0;;            ;;1;0;0;0;0;1;1;8:16.247
