STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;18:22:07.343;18:22:07.343;8:13.391;493,391;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.212;J;215;;42.392;J;233;;1:03.653;N;225;;10.453;N;262;;1:45.973;N;206;;35.505;N;244;;2:25.908;N;231;;20.427;J;259;;28.868;N;;;;N;;N;;N;8:12.219;2;N;0;;            ;;1;0;0;0;0;1;1;8:12.219
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;18:30:19.719;18:30:19.719;8:12.376;492,376;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.276;N;216;;42.445;N;233;;1:03.307;J;227;;10.381;J;263;;1:45.607;J;206;;35.382;J;244;;2:25.681;J;230;;20.467;N;259;;28.830;J;;;;N;;N;;N;8:12.219;2;N;0;;            ;;2;0;0;0;0;1;2;8:12.219
5;Kolb;3;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;18:19:46.396;18:19:46.396;8:13.695;493,695;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.352;N;214;;42.451;J;231;;1:03.386;N;228;;10.338;N;268;;1:46.007;N;199;;35.638;N;246;;2:26.257;J;230;;20.420;N;260;;28.846;N;;;;N;;N;;N;8:12.838;8;N;0;;            ;;1;0;0;0;0;1;1;8:12.838
5;Kolb;3;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;18:27:59.492;18:27:59.492;8:13.096;493,096;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.329;J;214;;42.507;N;232;;1:03.228;J;230;;10.296;J;269;;1:45.764;J;205;;35.385;J;244;;2:26.459;N;232;;20.325;J;261;;28.803;J;;;;N;;N;;N;8:12.838;8;N;0;;            ;;2;0;0;0;0;1;2;8:12.838
11;Erha;3;Erhart;Elia;Heimrich;Michael;Kaffer;Pierre;Klasen;Arno;DEU ;Twin Busch by équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;1;18:19:02.177;18:19:02.177;8:22.371;502,371;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.539;N;215;;43.082;N;231;;1:04.721;J;218;;10.530;J;263;;1:48.573;J;204;;35.693;J;246;;2:29.729;J;226;;20.408;J;262;;29.096;J;;;;N;;N;;N;8:22.229;16;N;0;;MH-Gewerbe-I;;1;0;0;0;0;1;1;8:22.229
11;Erha;3;Erhart;Elia;Heimrich;Michael;Kaffer;Pierre;Klasen;Arno;DEU ;Twin Busch by équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;2;18:27:37.673;18:27:37.673;8:35.496;515,496;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.463;J;215;;43.016;J;233;;1:12.261;N;213;;10.642;N;262;;1:50.072;N;204;;35.763;N;246;;2:32.999;N;225;;20.488;N;261;;29.792;N;;;;N;;N;;N;8:22.229;16;N;0;;MH-Gewerbe-I;;2;0;0;0;0;1;2;8:22.229
14;Kohl;4;Kohlhaas;Christian;Foster;Nicholas;Szymkowiak;Jules;Bleekemolen;Jeroen;DEU ;racing one GmbH;PRO-AM                                                      ;Ferrari 488 GT3 Evo18;1;18:20:54.681;18:20:54.681;8:20.859;500,859;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.241;J;219;;42.751;J;233;;1:04.406;J;221;;10.487;J;265;;1:48.389;J;204;;35.854;N;244;;2:29.386;J;226;;20.510;N;261;;28.835;J;;;;N;;N;;N;8:20.667;15;N;0;;Hella Pagid ;;1;0;0;0;0;1;1;8:20.667
14;Kohl;4;Kohlhaas;Christian;Foster;Nicholas;Szymkowiak;Jules;Bleekemolen;Jeroen;DEU ;racing one GmbH;PRO-AM                                                      ;Ferrari 488 GT3 Evo18;2;18:29:17.739;18:29:17.739;8:23.058;503,058;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.375;N;218;;43.112;N;233;;1:04.918;N;213;;10.605;N;264;;1:48.971;N;205;;35.728;J;244;;2:30.022;N;227;;20.444;J;261;;28.883;N;;;;N;;N;;N;8:20.667;15;N;0;;Hella Pagid ;;2;0;0;0;0;1;2;8:20.667
15;van ;2;Van der Linde;Kelvin;Vanthoor;Dries;Vervisch;Frederic;Frijns;Robin;DEU ;Audi Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;18:18:51.958;18:18:51.958;8:13.059;493,059;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.239;N;214;;42.537;N;232;;1:03.064;J;230;;10.323;J;265;;1:45.852;J;206;;35.469;J;244;;2:26.336;J;230;;20.358;J;260;;28.881;J;;;;N;;N;;N;8:12.817;6;N;0;;            ;;1;0;0;0;0;1;1;8:12.817
15;van ;2;Van der Linde;Kelvin;Vanthoor;Dries;Vervisch;Frederic;Frijns;Robin;DEU ;Audi Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;18:27:23.534;18:27:23.534;8:31.576;511,576;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.094;J;214;;42.440;J;233;;1:09.560;N;221;;10.495;N;264;;1:52.555;N;205;;35.940;N;245;;2:30.635;N;227;;20.468;N;260;;29.389;N;;;;N;;N;;N;8:12.817;6;N;0;;            ;;2;0;0;0;0;1;2;8:12.817
