STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:15:58.594;11:15:58.594;9:11.795;551,795;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.215;N;216;;43.275;N;232;;1:03.039;N;228;;10.388;N;266;;1:45.974;N;203;;40.128;N;189;;3:15.782;N;210;;20.903;N;259;;31.091;N;;;;N;;N;;N;8:49.017;5;N;0;;            ;;1;0;0;0;0;1;1;8:49.017
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;11:24:51.190;11:24:51.190;8:52.596;532,596;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.719;J;216;;42.649;J;233;;1:03.477;N;230;;10.365;N;266;;1:46.815;N;201;;38.025;J;216;;2:58.824;J;213;;20.915;N;259;;30.807;N;;;;N;;N;;N;8:49.017;5;N;0;;            ;;2;0;0;0;0;1;2;8:49.017
1;Chri;2;Christensen;Michael;Estre;Kevin;Makowiecki;Frédéric;Vanthoor;Laurens;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;11:40:37.136;11:40:37.136;8:56.382;536,382;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.961;N;214;;43.079;N;233;;1:03.014;J;228;;10.332;J;266;;1:45.702;J;206;;38.166;N;244;;3:05.376;N;217;;20.728;J;261;;29.024;J;;;;N;;N;;N;8:49.017;5;N;0;;            ;;3;0;0;0;0;1;3;8:49.017
3;Chri;3;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;11:24:33.553;11:24:33.553;8:55.239;535,239;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.260;J;216;;43.639;N;233;;1:04.173;J;223;;10.515;J;260;;1:48.214;N;204;;38.863;N;242;;2:58.337;N;221;;20.797;N;258;;29.441;N;;;;N;;N;;N;8:51.429;6;N;0;;            ;;1;0;0;0;0;1;1;8:51.429
3;Chri;2;Christodoulou;Adam;Götz;Maximilian;Schiller;Fabian;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;11:41:02.202;11:41:02.202;16:28.649;988,649;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;8:17.185;N;213;;43.432;J;231;;1:05.113;N;206;;10.870;N;258;;1:48.053;J;206;;36.026;J;245;;2:58.051;J;224;;20.591;J;260;;29.328;J;;;;N;;N;;N;8:51.429;6;N;0;;            ;;2;0;0;0;0;1;2;8:51.429
4;Enge;1;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;11:33:01.337;11:33:01.337;9:08.280;548,280;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.179;J;216;;43.118;N;228;;1:03.824;N;226;;10.399;N;264;;1:46.561;J;205;;37.758;N;239;;3:15.732;N;224;;20.581;J;259;;29.128;J;;;;N;;N;;N;8:57.707;12;N;0;;            ;;1;0;0;0;0;1;1;8:57.707
4;Enge;3;Engel;Maro;Gounon;Jules;Juncadella;Daniel;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;11:46:08.828;11:46:08.828;13:07.491;787,491;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;4:50.282;N;215;;43.092;J;233;;1:03.617;J;225;;10.386;J;266;;1:47.073;N;206;;35.475;J;241;;3:07.688;J;222;;20.701;N;259;;29.177;N;;;;N;;N;;N;8:57.707;12;N;0;;            ;;2;0;0;0;0;1;2;8:57.707
5;Kolb;3;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;11:13:44.259;11:13:44.259;9:09.913;549,913;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.879;J;213;;43.600;J;232;;1:04.393;J;222;;10.489;J;266;;1:53.922;N;202;;41.121;N;180;;3:01.872;N;220;;20.717;J;259;;31.920;N;;;;N;;N;;N;8:54.386;7;N;0;;            ;;1;0;0;0;0;1;1;8:54.386
5;Kolb;1;Kolb;Vincent;Stippler;Frank;Feller;Ricardo;Van der Linde;Kelvin;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:28:17.442;11:28:17.442;8:56.747;536,747;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.359;N;215;;43.898;N;233;;1:05.848;N;217;;10.617;N;264;;1:50.882;J;202;;37.800;J;234;;2:54.539;J;220;;20.717;N;259;;30.087;J;;;;N;;N;;N;8:54.386;7;N;0;;            ;;2;0;0;0;0;1;2;8:54.386
6;Haup;3;Haupt;Hubert;Dienst;Marvin;Bastian;Nico;Piana;Gabriele;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;11:11:21.125;11:11:21.125;9:01.515;541,515;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.556;J;216;;44.400;J;231;;1:04.311;J;225;;10.395;J;265;;1:47.192;J;204;;36.222;J;218;;3:07.273;J;221;;20.640;J;260;;29.526;J;;;;N;;N;;N;9:01.515;10;N;0;;by HRT      ;;1;0;0;0;0;1;1;9:01.515
