"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:00:00","964.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:10:00","964.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:20:00","964.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:30:00","964.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:40:00","964.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T00:50:00","964.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:00:00","964.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:10:00","964","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:20:00","963.9","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:30:00","963.9","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:40:00","963.8","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T01:50:00","963.8","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:00:00","963.7","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:10:00","963.7","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:20:00","963.7","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:30:00","963.6","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:40:00","963.6","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T02:50:00","963.6","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:00:00","963.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:10:00","963.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:20:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:30:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:40:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T03:50:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:00:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:10:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:20:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:30:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:40:00","963.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T04:50:00","963.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:00:00","963.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:10:00","963.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:20:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:30:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:40:00","963.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T05:50:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:00:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:10:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:20:00","963.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:30:00","963","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:40:00","962.9","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T06:50:00","962.9","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:00:00","962.8","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:10:00","962.8","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:20:00","962.8","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:30:00","962.6","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:40:00","962.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T07:50:00","962.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:00:00","962.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:10:00","962.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:20:00","962.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:30:00","962.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:40:00","962.4","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T08:50:00","962.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:00:00","962.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:10:00","962.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:20:00","962.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:30:00","962.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:40:00","962.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T09:50:00","962.5","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:00:00","962.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:10:00","962.3","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:20:00","962.2","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:30:00","962.1","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:40:00","962","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T10:50:00","962","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T11:00:00","962","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T11:10:00","961.9","11","2",
"OBS_DEU_PT10M_PP","3660","2023-05-20T11:20:00","961.7","11","2",
